R_avg,G_avg,B_avg,Color_var,V_var,S_var
29.96285062,31.85804978,31.55916314,10619.57702,15913.93422,0.077111484
30.05085322,31.75740598,31.51957736,10551.55761,16097.90629,0.073968271
30.01180338,31.61940971,31.28812958,10818.16158,16104.39503,0.075373081
30.11284543,31.45670533,31.16245871,10751.64429,16170.93965,0.074324326
30.26120904,31.63958445,31.18941224,10763.30184,16527.56516,0.076252631
30.36856839,31.84241366,31.32302176,10667.76284,16629.05654,0.076626352
30.43924574,31.89001599,31.39814615,10401.29987,16678.89206,0.075796657
30.16856517,31.92845494,31.28725368,10835.02105,16049.38265,0.083367754
30.20875861,31.95182248,31.35627791,10466.90929,16422.65945,0.079378744
27.25170842,27.93644163,29.24959812,7738.246033,18902.00535,0.061623202
24.15689919,22.63932027,26.4628706,6538.840245,18014.45476,0.110256844
22.20086702,19.21815417,24.96473165,7691.528113,18101.84315,0.174632325
22.27934538,19.00237412,25.10919145,7819.263489,18242.90262,0.180444017
21.96648021,18.97728584,24.93802145,7790.820133,18252.20642,0.189004268
22.05033651,19.02157971,25.02997153,7824.146297,18367.02942,0.189908582
22.02651503,18.96712707,25.00570662,7779.663671,18440.89785,0.190024436
21.96729672,18.92012339,24.97031349,7909.394946,18391.2522,0.190927658
21.92496675,18.89415202,24.95406081,8033.721195,18470.72075,0.191732085
21.3961124,22.01909777,24.64446916,6075.921415,22893.11147,0.249636253
21.37349376,22.08486473,24.62212208,6128.738432,22915.08956,0.2505034
21.36294412,22.1573323,24.62551902,6170.405452,22979.01634,0.251281465
21.35500028,22.13247899,24.61327105,8756.890109,17417.65153,0.162461999
21.28638161,22.06963017,24.52995989,8778.013109,17212.38764,0.162952273
21.3364053,22.11059922,24.57270582,8677.45677,17306.00537,0.1619067
21.39796765,22.23641787,24.63062322,6121.965055,23234.0223,0.248290188
21.42962801,22.24869903,24.66957087,6148.013317,23090.32089,0.250904368
21.45660757,22.27235606,24.69056631,6134.535712,23165.93145,0.249733571
20.60669636,21.00598691,24.39014405,7610.741985,14545.64836,0.102757348
23.48688672,21.39387475,25.44814301,5827.490527,18448.71373,0.092253807
27.09273202,21.82256762,27.60122529,6385.268317,19532.37137,0.114795512
29.67253069,22.42586173,29.65089735,8692.922308,24147.77958,0.174212451
25.94619558,22.44192261,31.96762707,4843.749687,20101.61199,0.116356022
24.38742485,22.01442622,31.23047108,5409.188717,18462.35766,0.124064524
24.94920371,21.85041364,30.66844707,5230.273086,18331.19763,0.125478135
25.09511772,21.58725048,29.75634015,5442.07109,18346.9047,0.124182022
24.97139088,21.66250012,29.62313343,5040.412735,17731.05372,0.118867126
24.80086282,21.53147746,29.52124462,4763.963786,17883.74488,0.112007139
24.81319523,21.47075616,29.12132604,5267.396932,17686.91022,0.114344929
24.64798072,21.6656676,29.50781328,5150.494587,17152.59261,0.11456114
24.10159994,22.00161797,30.4460258,5672.378858,17599.30399,0.113402852
24.1185224,21.80917203,30.08837118,5514.543333,17539.85238,0.112205702
26.24153305,24.47403609,31.77665854,5842.030036,19989.51281,0.076313104
26.82090224,25.02678451,32.28356925,6421.885613,20098.06681,0.076852907
27.01017234,25.17605327,32.49494475,6472.273965,20322.91577,0.076145665
27.14952069,25.27776469,32.63210292,6445.729595,20331.91599,0.077277606
27.24869247,25.44732056,32.79744712,6264.795896,21083.32632,0.073006909
27.01593427,25.51159262,32.55246052,6604.899788,20556.5276,0.074290741
27.24095548,25.58264361,32.75582498,6622.530394,20589.40961,0.075285127
27.24980877,25.42189278,32.71957207,6666.01846,20653.68306,0.075590982
27.28327665,25.40750011,32.73816536,6596.791939,20945.46565,0.075263876
27.18441813,25.56469872,33.43211929,5638.749235,21026.8744,0.072762003
