R_avg,G_avg,B_avg,Color_var,V_var,S_var,label
36.76725836,27.32926685,18.54002838,7532.24289,17619.66462,0.378943445,2
37.64959229,9.162616818,10.23780048,6655.286792,28259.56666,0.379862009,2
8.392120062,13.28002598,6.380905456,5989.64885,17337.02328,0.259948957,2
36.9328037,30.13553815,29.65838702,10844.98667,22030.07005,0.156247582,2
23.24802068,22.23125052,21.03735047,8773.127786,13402.90219,0.021005879,2
36.23819549,15.84066499,17.7805388,13656.68688,22228.92017,0.177035732,2
43.26648115,26.94503203,24.52210812,13873.81448,26080.91634,0.378293897,2
39.33840255,19.61707816,10.09298431,8024.765701,25524.66912,0.387151305,2
9.352023988,3.843678161,0.817191404,14388.50182,33048.16012,0.524228455,2
20.13709784,7.547598349,1.909756845,19289.04739,29958.79655,0.421451861,2
11.24874693,9.629287469,8.604127764,16810.34828,18964.24032,0.059935319,2
25.70090119,24.1859695,27.72124806,5720.478161,18016.31732,0.194872442,2
18.23568539,14.03603202,11.38289701,7969.761747,13100.27913,0.096713174,2
38.98348492,33.63814673,32.94752303,11135.66054,17935.48523,0.29303944,2
27.99743537,26.67015197,24.91898057,7797.6289,18677.09003,0.034792586,2
13.94670807,17.11674916,19.86633485,10526.89915,16944.2525,0.135980156,2
40.22042643,13.32481554,15.67967122,12374.75448,27678.54683,0.078967492,2
3.64754902,17.33421569,12.34333333,21510.5827,16451.1629,0.253521683,2
41.34280944,34.37590463,32.73435108,13941.76386,23683.36554,0.120333595,2
35.27064895,24.53731265,21.16074749,9845.450552,19408.60106,0.184501105,2
24.34251276,20.483851,16.89744596,16257.22554,21392.46191,0.132105957,2
18.01798252,6.248384808,6.035248662,16648.46398,26004.88855,0.291901045,2
9.075408879,9.075408879,9.075408879,6492.395586,7092.771242,0,1
18.67134073,18.67134073,18.67134073,12982.20884,13227.5087,0,1
27.8264,27.8264,27.8264,16875.09703,17937.98047,0,1
18.19074321,23.52075099,31.20622802,9564.768576,16960.65024,0.323735088,1
7.149920226,6.953342831,6.616374538,10822.50479,8063.235583,0.010344327,1
14.75561252,13.9857401,13.13116295,8270.755608,8413.122518,0.012139307,1
9.248681542,9.796830629,11.28511663,3928.005811,5110.6482,0.019006144,1
26.07647057,28.17911862,30.10084668,12994.69908,16637.15037,0.041738477,1
